Pressione qualquer tecla para continuar, , , 
100	13,35	99,5
200	14,995	198,48
300	15,325	297,992
400	18,2188	395,418
500	18,579	496,467
600	18,0425	593,131
700	18,935	693,929
800	20,0875	787,791
900	20,1394	889,944
1000	20,3065	984,342
1100	19,905	1078,87
1200	21,7454	1172,77
1300	21,6935	1275,98
1400	20,2357	1373,67
1500	20,3773	1463,84
1600	20,8319	1559,81
1700	22,4697	1661,7
1800	20,1361	1754,89
1900	20,2076	1842,56
2000	20,4518	1943,8
